Display all the personal trainers.,2020-03-31T16:03:07.312560600Z
Display all the cashiers.,2020-03-31T16:03:07.668994400Z
Display all the memberships.,2020-03-31T16:03:08.103402800Z
Display all the members.,2020-03-31T16:03:09.689224600Z
Display functional hours.,2020-03-31T16:03:11.032116300Z
Quit applicattion.,2020-03-31T16:03:11.719910300Z
